Kommune (it.),Geokoordinaten,Status,Kommune (deutsch),Stand
Alessandria,44.8315 8.6625,Präventionsmaßnahmen,Alessandria,Stand: 13.08.
Asti,44.8777 8.1841,Präventionsmaßnahmen,Asti,Stand: 13.08.
Bergamo,45.7951 9.797,Präventionsmaßnahmen,Bergamo,Stand: 13.08.
Biella,45.5288 8.0895,Präventionsmaßnahmen,Biella,Stand: 13.08.
Bologna,44.4312 11.3436,Präventionsmaßnahmen,Bologna,Stand: 13.08.
Brescia,45.7031 10.3182,Präventionsmaßnahmen,Brescia,Stand: 13.08.
Caltanissetta,37.3542 14.0686,Präventionsmaßnahmen,Caltanissetta,Stand: 13.08.
Caserta,41.2176 14.1574,Präventionsmaßnahmen,Caserta,Stand: 13.08.
Catania,37.5142 14.8284,Präventionsmaßnahmen,Catania,Stand: 13.08.
Catanzaro,38.8967 16.4891,Präventionsmaßnahmen,Catanzaro,Stand: 13.08.
Cremona,45.2223 10.0011,Präventionsmaßnahmen,Cremona,Stand: 13.08.
Cuneo,44.4784 7.5741,Präventionsmaßnahmen,Cuneo,Stand: 13.08.
Ferrara,44.789 11.8467,Präventionsmaßnahmen,Ferrara,Stand: 13.08.
Foggia,41.5418 15.5573,Präventionsmaßnahmen,Foggia,Stand: 13.08.
Forlì-Cesena,44.0386 12.0376,Präventionsmaßnahmen,Forlì-Cesena,Stand: 13.08.
Frosinone,41.6148 13.5322,Präventionsmaßnahmen,Frosinone,Stand: 13.08.
Genova,44.4699 9.1169,Präventionsmaßnahmen,Genova,Stand: 13.08.
Isernia,41.6464 14.243,Präventionsmaßnahmen,Isernia,Stand: 13.08.
L'Aquila,42.102 13.5945,Präventionsmaßnahmen,L'Aquila,Stand: 13.08.
Latina,41.4307 13.1442,Präventionsmaßnahmen,Latina,Stand: 13.08.
Lecce,40.1756 18.1783,Präventionsmaßnahmen,Lecce,Stand: 13.08.
Lecco,45.9052 9.3867,Präventionsmaßnahmen,Lecco,Stand: 13.08.
Lodi,45.2333 9.5808,Präventionsmaßnahmen,Lodi,Stand: 13.08.
Mantova,45.1246 10.7722,Präventionsmaßnahmen,Mantova,Stand: 13.08.
Matera,40.4682 16.4485,Präventionsmaßnahmen,Matera,Stand: 13.08.
Milano,45.4635 9.1187,Präventionsmaßnahmen,Milano,Stand: 13.08.
Modena,44.5348 10.8894,Bestätigter Fall,Modena,Stand: 13.08.
Napoli,40.8558 14.3639,Präventionsmaßnahmen,Napoli,Stand: 13.08.
Novara,45.5718 8.5501,Präventionsmaßnahmen,Novara,Stand: 13.08.
Oristano,39.8986 8.7169,Präventionsmaßnahmen,Oristano,Stand: 13.08.
Padova,45.3549 11.81,Präventionsmaßnahmen,Padova,Stand: 13.08.
Parma,44.6712 10.0469,Bestätigter Fall,Parma,Stand: 13.08.
Pavia,45.1102 9.0323,Präventionsmaßnahmen,Pavia,Stand: 13.08.
Piacenza,44.8699 9.6245,Bestätigter Fall,Piacenza,Stand: 13.08.
Ravenna,44.372 11.9948,Präventionsmaßnahmen,Ravenna,Stand: 13.08.
Reggio Calabria,38.2046 16.0263,Präventionsmaßnahmen,Reggio Calabria,Stand: 13.08.
Reggio Emilia,44.6064 10.551,Präventionsmaßnahmen,Reggio Emilia,Stand: 13.08.
Roma,41.9205 12.5699,Präventionsmaßnahmen,Roma,Stand: 13.08.
Rovigo,45.0165 11.9172,Präventionsmaßnahmen,Rovigo,Stand: 13.08.
Salerno,40.4409 15.2229,Präventionsmaßnahmen,Salerno,Stand: 13.08.
Sassari,40.7408 8.965,Präventionsmaßnahmen,Sassari,Stand: 13.08.
Siracusa,37.0773 15.0306,Präventionsmaßnahmen,Siracusa,Stand: 13.08.
Sud Sardegna,39.4376 8.96,Präventionsmaßnahmen,Sud Sardegna,Stand: 13.08.
Torino,45.1455 7.431,Präventionsmaßnahmen,Torino,Stand: 13.08.
Treviso,45.7973 12.2223,Bestätigter Fall,Treviso,Stand: 13.08.
Udine,46.2264 13.1573,Präventionsmaßnahmen,Udine,Stand: 13.08.
Varese,45.7908 8.7799,Präventionsmaßnahmen,Varese,Stand: 13.08.
Venezia,45.5902 12.536,Präventionsmaßnahmen,Venezia,Stand: 13.08.
Vercelli,45.3228 8.4197,Präventionsmaßnahmen,Vercelli,Stand: 13.08.
Verona,45.6731 11.0377,Präventionsmaßnahmen,Verona,Stand: 13.08.
Vicenza,45.6713 11.4924,Präventionsmaßnahmen,Vicenza,Stand: 13.08.
